Band,Lyrics,Song
The Springfields,"A time to be reapin', a time to be sowin'.
The green leaves of Summer are callin' me home.
'Twas so good to be young then, in a season of plenty,
When the catfish were jumpin' as high as the sky.

A time just for plantin', a time just for ploughin'.
A time to be courtin' a girl of your own.
'Twas so good to be young then, to be close to the earth,
And to stand by your wife at the moment of birth.

A time to be reapin', a time to be sowin'.
The green leaves of Summer are callin' me home.
'Twas so good to be young then, with the sweet smell of apples,
And the owl in the pine tree a-winkin' his eye.

A time just for plantin', a time just for ploughin'.
A time just for livin', a place for to die.
'Twas so good to be young then, to be close to the earth,
Now the green leaves of Summer are callin' me home.

'Twas so good to be young then, to be close to the earth,
Now the green leaves of Summer are callin' me home.",The Green Leaves of Summer
The Springfields,"Breakaway, my heart is cryin' 
Breakaway, the time is flyin' 
So, I'm gonna tell myself don't sit and mourn 
Lookin' sad and so forlorn 

Tell myself I'm glad I'm born 
Well, I'm gonna breakaway 
Breakaway, the breeze is sighin' 
Breakaway, the time is flyin' 

So, I'm gonna pack a bag and get my coat 
Lock my door and leave a note 
Take a train or take a boat 
Well, I'm gonna breakaway 

I'll take me round from town to town 
I'll see the friends I knew 
I left 'em by the wayside 
But I know their hearts are true 

I'll give myself a holiday 
I need it oh-so bad 
And if I find a new love 
I'll be glad, glad, glad 

Breakaway, my heart is cryin' 
Breakaway, the time is flyin' 
So, I'm gonna find out what this world can give 
While I'm young I'm gonna live 

That's my plan, I'm positive 
Well, I'm gonna breakaway 
I'll take me round from town to town 
I'll see the friends I knew 

I left 'em by the wayside 
But, I know their hearts are true 
I'll give myself a holiday 
I need it oh-so bad 

And if I find a new love 
I'll be glad, glad, glad 
Breakaway, my heart is cryin' 
Breakaway, the time is flyin' 

So, I'm gonna find out what this world can give 
While I'm young I'm gonna live 
That's my plan, I'm positive 
Well, I'm gonna breakaway 

Gonna breakaway 
Gonna breakaway 
Breakaway 
Breakaway",Breakaway
The Springfields,"Don't stand there wailing ""got no place to go""
Come on home
You look at me like that and I can't say no
Come on home
 
Well, I know you done me wrong
And I know I should be strong
But, I cried the whole night long
So, come on home
Come on home
 
Tell me baby, must you be so cruel?
Come on home
You treat me just like I'm some kind of fool
Come on home
 
Well, I know you let me down
I was glad when you left town
But, you're good to have around
So, come on home
 
Don't run away now
Come on home
You got your way now
Come on home
A-hear what I say now
Come on home
Come on home
 
When you smile at me well I feel so good
Come on home
I can't be mad at you like I know I should
Come on home
Well you took me for a ride
And I thought my love had died
Still I need you by my side
So come on home
Come on home
Come on home
Come on home
Come on home
Come on home
 
Yeah, when you smile at me well I feel so good
Come on home
I can't be mad at you a-like I know I should
Come on home
Well, you took me for a ride
And I thought my love had died
Still, I need you by my side
So, come on home
Said yes
Come on home
Sit down
Come on home 
Come on home",Come on Home
The Springfields,"Far away places with strange sounding names
Far away over the sea
Those far away places with the strange sounding names are
Calling
Calling me
Goin' to China or maybe Siam
I wanna see for myself 
Those far away places I've been reading about in a 
Book that I took from a shelf
I start getting' restless whenever I hear the whistle of a train
I pray for the day I can get underway
And look for those castles in Spain
They call me a dreamer
Well maybe I am
But I know that I'm burning to see those 
Far away places with the strange sounding names
Calling, calling me
Me",Far Away Places
The Springfields,"No sad songs for me
Soon our love will be
Just a memory
It's all over
 
I walk around imagining
The way you'll say goodbye
And when you try to tell me
I just hope that I won't cry
 
No sad songs for me
Soon our love will be
Just a memory
It's all over
 
The glow has gone forever
And our dreams have turned to dust
I don't know how I can go on
And yet I know I must
 
No sad songs for me
Soon our love will be
Just a memory
It's all over
 
It breaks my heart to feel this way
Although I try to smile
To think I'll be alone again
In just a little while
 
No sad songs for me
Soon our love will be
Just a memory
It's all over
It's all over
It's all over",No Sad Songs for Me
The Squadronaires,"I'll be seeing you in all the old familiar places
That this heart of mine embraces all day through
In that small cafe, the park across the way
The children's carousel, 
The chestnut trees, the wishing well

I'll be seeing you in every lovely summer's day
In everything that's light and gay
I'll always think of you that way

I'll find you in the morning' sun
And when the night is new
I'll be looking at the moon
But I'll be seeing you
I'll find you in the morning sun
And when the night is new
I'll be looking at the moon
But I'll be seeing you",I'll Be Seeing You
The Squadronaires,"I reckon you all don't know me at all
I just got here today
My home is way down in a little town
It's not so far away
Everybody for miles around
Calls me by my name
Now that I am in your fair town
You must do the same
For I'm a
 
Ding dong daddy from Dumas
You ought to see me do my stuff
I'm a clean cut fellow from Horner's Corner
Your ought to see me strut
I'm a caper cuttin' cutie
Got a gal called Katie
She's a little heavy laden but I call her ""Baby""
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
 
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
I'm a ping pong papa from Pitch Fork Prairie
You ought to see me strut
I'm a ding dong daddy
Got a whiz bang momma
She's a Bear Creek baby and a wampus kitty
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
 
 I'm a ding dong daddy from Dumas
You ought to see me do my stuff
I'm a popcorn popper and a big apple knocker
You ought to see me strut
I'm a mamma makin' man
And I just made Mary
She's a big blonde baby from Peanut Prairie
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
 
I'm a Ding Dong Daddy from Dumas
You ought to see me do my stuff
I'm a peach-pie papa from Jackson's Hollow
You ought to see me strut
I'm a honey dippin' daddy
Got a hard hearted baby
She's a sheik shakin' Sheba but she can't shake me 
'Cause I'm a ding dong daddy from Dumas
You ought to see me do my stuff
 
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
I'm a jug jugglin' Jasper
From Flat Fork Flats, and
You ought to see me strut
I'm a corn-huskin' huskie
Got a gal called Cleta
She's a flip flop flapper
But her brains are in her fee
Oh, I'm a ding dong daddy from Dumas
You ought to see me do my stuff
 
I'm a ding dong daddy from Dumas
You ought to see me do my stuff
I'm a cider sipper
From Corn Cob Center
You ought to see me strut
I'm a high powered papa
Got a gal called Susie
She's a fast movin' mamma
But she can't love me, 'cause
I'm a ding dong daddy from Dumas
You ought to see me do my stuff",I'm a Ding Dong Daddy from Dumas
The Squadronaires,"Never thought I'd fall,
But now I hear love call,
I'm getting sentimental over you

Things you say and do,
Just thrill me through and through,
I'm getting sentimental over you.

I thought I was happy,
I could live without love
Now I must admit,
Love is all I'm thinking of

Won't you please be kind,
And just make up your mind
That you'll be sweet & gentle,
Be gentle with me
Because I'm sentimental over you
",I'm Getting Sentimental over You
The Squadronaires,"My gal and I, we had a fight 
And I'm all by myself
I guess she thinks now that she's gone
I'll lay right on the shelf
I'm gonna show her she's all wrong
No lonesome stuff for mine
I won't sit home, all alone
She'll soon find that I'm
 
Runnin' wild,  lost control
Runnin' wild, mighty bold
Feelin' gay, reckless too
Care free mind all the time, never blue
Always goin' don't know where
Always showin', I don't care
Don't love nobody, it's not worth while
All alone, runnin' wild. Runnin' wild
 
When I first met that gal of mine
It seemed just like a dream
But when she tho't she had me right
She started actin' mean
Like mary led her little lamb 
She led me all the time
Until the worm had to turn
That's the reason I'm
 
Runnin' wild,  lost control
Runnin' wild, mighty bold
Feelin' gay, reckless too
Care free mind all the time, never blue
Always goin' don't know where
Always showin', I don't care
Don't love nobody, it's not worth while
All alone, runnin' wild. Runnin' wild
 
No gal will ever make a fool of me
No gal! I mean just what I say
I ain't the simpleton I used to be
Wonder how I got that way
 
Once I was full of sentiment, it's true
But now I got a cruel heart
With all that other foolishness I'm through
Gonna play the Villain part
 
Runnin' wild,  lost control
Runnin' wild, mighty bold
Feelin' gay, reckless too
Care free mind all the time, never blue
Always goin' don't know where
Always showin', I don't care
Don't love nobody, it's not worth while
All alone, runnin' wild. Runnin' wild
",Runnin' Wild
The Square Pegs,"Don't you hear my heart whisper thru your window, Emaline?
It's a lovely night, Emaline, to meander with me,
Have you told your friends, 
Have you told your people, Emaline?
Hurry up and write them a line 
'Bout a weddin' to be, 
In the church there's an old bell ringer,
Just waitin' for the time when I place a ring around your finger, 
makin' you mine,
All I do is pray for that Sunday mornin' sun to shine,
When I promenade down the line 
 

",Emaline
