Url,Song,Band
/lyric/17546111/Fred+Mollin/Someday+My+Prince+Will+Come,Someday My Prince Will Come,Fred Mollin
/lyric/3345365/Fred+Neil/Other+Side+to+This+Life,Other Side to This Life,Fred Neil
/lyric/483280/Fred+Neil/Candy+Man,Candy Man,Fred Neil
/lyric/483274/Fred+Neil/Country+Boy,Country Boy,Fred Neil
/lyric/483273/Fred+Neil/Little+Bit+of+Rain,Little Bit of Rain,Fred Neil
/lyric/483278/Fred+Neil/Water+Is+Wide,Water Is Wide,Fred Neil
/lyric/599174/Fred+Neil/Sweet+Cocaine,Sweet Cocaine,Fred Neil
/lyric/11635733/Fred+Nelson+III/How+Do+You+Keep+Music+Playing,How Do You Keep Music Playing,Fred Nelson III
/lyric/3233731/Fred+Penner/Winken%2C+Blinken+and+Nod,"Winken, Blinken and Nod",Fred Penner
/lyric/3233568/Fred+Penner/%28Ghost%29+Riders+in+the+Sky,(Ghost) Riders in the Sky,Fred Penner
/lyric/3233560/Fred+Penner/If+I+Knew+You+Were+Comin%27+I%27d%27ve+Baked+a+Cake,If I Knew You Were Comin' I'd've Baked a Cake,Fred Penner
/lyric/3233540/Fred+Penner/I%27ve+Got+No+Strings,I've Got No Strings,Fred Penner
/lyric/3233208/Fred+Penner/Allergies,Allergies,Fred Penner
/lyric/3233204/Fred+Penner/Happy+Feet,Happy Feet,Fred Penner
/lyric/3233215/Fred+Penner/I+Can+Sing+a+Rainbow,I Can Sing a Rainbow,Fred Penner
/lyric/3233216/Fred+Penner/Ragg+Mop,Ragg Mop,Fred Penner
/lyric/3233211/Fred+Penner/A+Shine+on+Your+Shoes,A Shine on Your Shoes,Fred Penner
/lyric/9140254/Fred+Penner/A+%27Soalin,A 'Soalin,Fred Penner
artist/Winnipeg%20Youth%20Chorus/815633,Winnipeg Youth Chorus,Fred Penner
/lyric/7193570/Fred+Penner/Imagination,Imagination,Fred Penner
/lyric/7196306/Fred+Penner/I+Can+Sing+a+Rainbow+%5BInstrumental%5D,I Can Sing a Rainbow [Instrumental],Fred Penner
/lyric/7196303/Fred+Penner/Over+the+Rainbow,Over the Rainbow,Fred Penner
/lyric/2977256/Fred+Rich/Body+and+Soul,Body and Soul,Fred Rich
/lyric/30232031/Fred+Schneider/Coconut,Coconut,Fred Schneider
/lyric/1026382/Fred+Small/Annie,Annie,Fred Small
/lyric/1026383/Fred+Small/Death+in+Disguise,Death in Disguise,Fred Small
/lyric/1026384/Fred+Small/Dig+a+Hole+in+the+Ground%2C+or%2C+How+to+Prosper+During+the+Coming+Nuclea,"Dig a Hole in the Ground, or, How to Prosper During the Coming Nuclea",Fred Small
