Url,Song,Band
/lyric/3154197/Mighty+Sparrow/Sell+the+Pussy,Sell the Pussy,Mighty Sparrow
/lyric/1577474/Mighty+Sparrow/Obeah+Wedding,Obeah Wedding,Mighty Sparrow
/lyric/30401323/Byron+Lee/Only+a+Fool+%28Breaks+His+Own+Heart%29,Only a Fool (Breaks His Own Heart),Mighty Sparrow
artist/Byron%20Lee/3328,Byron Lee,Mighty Sparrow
/lyric/4289674/Byron+Lee/Only+a+Fool,Only a Fool,Mighty Sparrow
artist/Byron%20Lee/3328,Byron Lee,Mighty Sparrow
/lyric/4289678/Byron+Lee/Try+a+Little+Tenderness,Try a Little Tenderness,Mighty Sparrow
artist/Byron%20Lee/3328,Byron Lee,Mighty Sparrow
/lyric/5327992/Mighty+Sparrow/Santa+Claus+Is+Coming+to+Town,Santa Claus Is Coming to Town,Mighty Sparrow
/lyric/33644499/Migos/Call+Casting,Call Casting,Migos
/lyric/32597075/Migos/Look+at+My+Dab,Look at My Dab,Migos
/lyric/32887474/Migos/Say+Sum,Say Sum,Migos
/lyric/33663188/Migos/What+the+Price,What the Price,Migos
/lyric/29631822/Migos/Bakers+Man,Bakers Man,Migos
/lyric/29631828/Migos/Chirpin,Chirpin,Migos
/lyric/29631824/Migos/Cook+It+Up,Cook It Up,Migos
/lyric/29631816/Gucci+Mane/Dennis+Rodman,Dennis Rodman,Migos
artist/Gucci%20Mane/703775,Gucci Mane,Migos
/lyric/29631819/Migos/Fema,Fema,Migos
/lyric/29631832/Migos/R.I.P.,R.I.P.,Migos
/lyric/29631829/Migos/Versace,Versace,Migos
/lyric/29631817/Migos/Young+Rich+N%2Aggas,Young Rich N*ggas,Migos
/lyric/30928095/Migos/Add+it+Up,Add it Up,Migos
/lyric/30928093/Migos/Antidote,Antidote,Migos
/lyric/30928088/Migos/Birds,Birds,Migos
/lyric/30928083/Migos/Built+Like+Me,Built Like Me,Migos
/lyric/30928096/Migos/Contraband,Contraband,Migos
/lyric/30928097/Migos/Copy+Me,Copy Me,Migos
/lyric/30928090/Migos/Fight+Night,Fight Night,Migos
/lyric/30928082/Migos/First+48,First 48,Migos
/lyric/30928085/Migos/Freak+No+More,Freak No More,Migos
/lyric/30928089/Migos/Handsome+and+Wealthy,Handsome and Wealthy,Migos
/lyric/30928084/Migos/Hotboy,Hotboy,Migos
/lyric/30928098/Migos/Intro+No+Label+II,Intro No Label II,Migos
artist/DJ%20RayG/2974425,DJ RayG,Migos
/lyric/30928092/Migos/Kidding+Me,Kidding Me,Migos
/lyric/30928091/Migos/M%26M%27s,M&M's,Migos
/lyric/30928079/Jermaine+Dupri/New+Atlanta,New Atlanta,Migos
artist/Jermaine%20Dupri/72760,Jermaine Dupri,Migos
artist/Young%20Thug/788504,Young Thug,Migos
artist/Rich%20Homie%20Quan/2840567,Rich Homie Quan,Migos
/lyric/30928086/Migos/No+F%2Ackin+With,No F*ckin With,Migos
/lyric/30928081/Migos/Payola,Payola,Migos
/lyric/30928094/Migos/Peek+a+Boo,Peek a Boo,Migos
/lyric/30928080/Migos/Where+Were+You,Where Were You,Migos
/lyric/30928087/Rich+Homie+Quan/YRH,YRH,Migos
artist/Rich%20Homie%20Quan/2840567,Rich Homie Quan,Migos
/lyric/32081370/Young+Thug/Cocaina,Cocaina,Migos
artist/Young%20Thug/788504,Young Thug,Migos
/lyric/32081380/Migos/Dab+Daddy,Dab Daddy,Migos
/lyric/32081372/Migos/Gangsta+Rap,Gangsta Rap,Migos
/lyric/32081376/Migos/Highway+85,Highway 85,Migos
/lyric/32081374/Chris+Brown/Just+for+Tonight,Just for Tonight,Migos
artist/Chris%20Brown/724933,Chris Brown,Migos
/lyric/32081381/Migos/Memoirs,Memoirs,Migos
/lyric/32081379/Migos/Migos+Origin,Migos Origin,Migos
/lyric/32081375/Migos/One+Time,One Time,Migos
/lyric/32081373/Migos/Pipe+It+Up,Pipe It Up,Migos
/lyric/32081371/Migos/Playa+Playa,Playa Playa,Migos
/lyric/32081367/Migos/Recognition,Recognition,Migos
/lyric/32081378/Migos/Spray+the+Champagne,Spray the Champagne,Migos
/lyric/32081377/Migos/Street+N%2A%2Aga+Sacrifice,Street N**ga Sacrifice,Migos
/lyric/32081369/Migos/Trap+Funk,Trap Funk,Migos
/lyric/32081368/Migos/What+a+Feeling,What a Feeling,Migos
/lyric/33423892/Migos/Bad+and+Boujee,Bad and Boujee,Migos
/lyric/32597225/Migos/WOA,WOA,Migos
/lyric/33687538/Migos/All+Ass,All Ass,Migos
/lyric/33687542/Migos/Big+on+Big,Big on Big,Migos
/lyric/33687540/Migos/Brown+Paper+Bag,Brown Paper Bag,Migos
/lyric/33687544/Migos/Get+Right+Witcha,Get Right Witcha,Migos
/lyric/33687537/Migos/Kelly+Price,Kelly Price,Migos
/lyric/33687536/Migos/Out+Yo+Way,Out Yo Way,Migos
/lyric/33690703/DJ+Khaled/Culture,Culture,Migos
artist/DJ%20Khaled/672134,DJ Khaled,Migos
/lyric/33690712/2+Chainz/Deadz,Deadz,Migos
artist/2%20Chainz/2450987,2 Chainz,Migos
/lyric/33690708/Migos/Slippery,Slippery,Migos
/lyric/33644498/Migos/T-Shirt,T-Shirt,Migos
